 INFO 2015-04-23 12:08:10,306 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:08:14,409 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set with blank Set ID'
 INFO 2015-04-23 12:08:14,412 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-26 17:24:52,363 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 17:24:52,636 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 17:24:52,636 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 17:24:52,809 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 17:24:52,812 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-26 17:24:52,812 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-26 17:24:52,813 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-26 17:24:52,814 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:24:57,141 [main] (HttpUtils.java:102) - java.net.UnknownHostException: us.battle.net
 INFO 2015-04-26 17:24:57,142 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item'
 INFO 2015-04-26 17:24:57,144 [main] (TestEngine.java:79) - Total 3 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-26 17:24:57,144 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
 INFO 2015-04-26 17:24:57,144 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:25:01,164 [main] (HttpUtils.java:102) - java.net.UnknownHostException: us.battle.net
 INFO 2015-04-26 17:25:01,164 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item with blank item ID'
 INFO 2015-04-26 17:25:01,164 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:25:05,176 [main] (HttpUtils.java:102) - java.net.UnknownHostException: us.battle.net
 INFO 2015-04-26 17:25:05,177 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item with blank Invalid item ID'
 INFO 2015-04-26 17:25:05,177 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:25:09,191 [main] (HttpUtils.java:102) - java.net.UnknownHostException: us.battle.net
